SAT_Sequence,Word,Primary Definition,seq,additional_definition,sample sentences,synonyms,antonyms
1,abash,to make ashamed,1,cause to be embarrassed; cause to feel self-conscious,,embarrass. abash,
2,abate,to put an end to,1,make less active or intense,,slake. abate. slack,
2,abate,to put an end to,2,become less in amount or intensity,The storm abated. The rain let up after a few hours,abate. let_up. slack_off. slack. die_away,
3,abbess,a female superior or governess of a nunnery,1,the superior of a group of nuns,,abbess. mother_superior. prioress,
4,abbey,a monastery or society of people,1,a church associated with a monastery or convent,,abbey,
4,abbey,a monastery or society of people,2,a convent ruled by an abbess,,abbey,
4,abbey,a monastery or society of people,3,a monastery ruled by an abbot,,abbey,
5,abbot,the superior or head of an abbey or monastery,1,the superior of an abbey of monks,,abbot. archimandrite,
6,abbreviate,to make shorter,1,reduce in scope while retaining essential elements,The manuscript must be shortened,abridge. foreshorten. abbreviate. shorten. cut. contract. reduce,expand
6,abbreviate,to make shorter,2,shorten,Abbreviate `New York' and write `NY',abbreviate,
7,abdicate,"to surrender, renounce or relinquish",1,"give up, such as power, as of monarchs and emperors, or duties and obligations",The King abdicated when he married a divorcee,abdicate. renounce,
8,abdomen,the belly/stomach,1,the region of the body of a vertebrate between the thorax and the pelvis,,abdomen. venter. stomach. belly,
8,abdomen,the belly/stomach,2,the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,abdominal_cavity. abdomen,
9,abduct,to take away secretly by force,1,take away to an undisclosed location against their will and usually in order to extract a ransom,The industrialist's son was kidnapped,kidnap. nobble. abduct. snatch,
9,abduct,to take away secretly by force,2,pull away from the body,This muscle abducts,abduct,adduct
10,abed,in bed,1,,,,
11,aberrant,straying from the right or normal way,1,,,,
12,abet,"to assist or encourage by aid, especially in crime",1,"assist or encourage, usually in some wrongdoing",,abet,
13,abeyance,temporary inactivity,1,temporary cessation or suspension,,abeyance. suspension,
14,abhor,to loath,1,find repugnant,I loathe that man. She abhors cats,abhor. loathe. abominate. execrate,
15,abide,to wait for,1,dwell,You can stay with me while you are in town. Stay a bit longer--the day is still young,bide. abide. stay,
15,abide,to wait for,2,put up with something or somebody unpleasant,I cannot bear his constant criticism. The new secretary had to endure a lot of unprofessional remarks. He learned to tolerate the heat. She stuck out two years in a miserable marriage,digest. endure. stick_out. stomach. bear. stand. tolerate. support. brook. abide. suffer. put_up,
16,abject,"to cast off or down, to abase",1,,,,
17,abjure,to renounce upon oath,1,"formally reject or disavow a formerly held belief, usually under pressure",He retracted his earlier statements about his religion. She abjured her beliefs,abjure. recant. forswear. retract. resile,
18,abnegate,to deny (oneself something),1,"deny oneself (something); restrain, especially from indulging in some pleasure",She denied herself wine and spirits,deny. abnegate,
18,abnegate,to deny (oneself something),2,surrender (power or a position),The King abnegated his power to the ministers,abnegate,
18,abnegate,to deny (oneself something),3,deny or renounce,They abnegated their gods,abnegate,
19,abnormal,not conforming to rule or system,1,not normal; not typical or usual or regular or conforming to a norm,Abnormal powers of concentration. Abnormal amounts of rain. Abnormal circumstances. An abnormal interest in food,abnormal. unnatural,normal
19,abnormal,not conforming to rule or system,2,departing from the normal in e.g. intelligence and development,They were heartbroken when they learned their child was abnormal. An abnormal personality,abnormal,normal
19,abnormal,not conforming to rule or system,3,much greater than the normal,Abnormal profits. Abnormal ambition,abnormal,
20,abominable,"very hateful, detestable",1,unequivocally detestable; ; ; ; - Edmund Burke,Abominable treatment of prisoners. Detestable vices. Execrable crimes. Consequences odious to those you govern,abominable. detestable. execrable. odious,
20,abominable,"very hateful, detestable",2,exceptionally bad or displeasing,Atrocious taste. Abominable workmanship. An awful voice. Dreadful manners. A painful performance. Terrible handwriting. An unspeakable odor came sweeping into the room,atrocious. abominable. awful. dreadful. painful. terrible. unspeakable,
21,abomination,anything greatly disliked or abhorred,1,a person who is loathsome or disgusting,,abomination,
21,abomination,anything greatly disliked or abhorred,2,hate coupled with disgust,,abhorrence. abomination. detestation. execration. loathing. odium,
21,abomination,anything greatly disliked or abhorred,3,an action that is vicious or vile; an action that arouses disgust or abhorrence,His treatment of the children is an abomination,abomination,
22,aboriginal,original or indigenous to a place,1,of or pertaining to members of the indigenous people of Australia,An Aboriginal rite,Aboriginal,
22,aboriginal,original or indigenous to a place,2,characteristic of or relating to people inhabiting a region from the beginning,Native Americans. The aboriginal peoples of Australia,native. aboriginal,nonnative
22,aboriginal,original or indigenous to a place,3,having existed from the beginning; in an earliest or original stage or state,Aboriginal forests. Primal eras before the appearance of life on earth. The forest primeval. Primordial matter. Primordial forms of life,aboriginal. primal. primeval. primaeval. primordial,
23,abort,"to miscarry, to bring forth something prematurely",1,terminate before completion,Abort the mission. Abort the process running on my computer,abort,
23,abort,"to miscarry, to bring forth something prematurely",2,"cease development, die, and be aborted",An aborting fetus,abort,
23,abort,"to miscarry, to bring forth something prematurely",3,terminate a pregnancy by undergoing an abortion,,abort,
24,abortive,unsuccessful,1,failing to accomplish an intended result,An abortive revolt. A stillborn plot to assassinate the President,abortive. stillborn. unsuccessful,
25,abound,"to be plentiful, to be very prevalent, to overflow",1,be abundant or plentiful; exist in large quantities,,abound,
25,abound,"to be plentiful, to be very prevalent, to overflow",2,be in a state of movement or action,The room abounded with screaming children. The garden bristled with toddlers,abound. burst. bristle,
26,aboveboard,"in open sight, without concealment, or deception",1,without concealment or deception; honest,Their business was open and aboveboard. Straightforward in all his business affairs,aboveboard. straightforward,
27,abrade,to rub or wear away,1,wear away,,abrade. corrade. abrase. rub_down. rub_off,
27,abrade,to rub or wear away,2,rub hard or scrub,Scour the counter tops,scour. abrade,
28,abrasive,rough enough to wear away the outer surface,1,causing abrasion,,abrasive. scratchy,
28,abrasive,rough enough to wear away the outer surface,2,sharply disagreeable; rigorous,The harsh facts of court delays. An abrasive character,harsh. abrasive,
29,abridge,to shorten in duration,1,reduce in scope while retaining essential elements,The manuscript must be shortened,abridge. foreshorten. abbreviate. shorten. cut. contract. reduce,expand
29,abridge,to shorten in duration,2,"lessen, diminish, or curtail",The new law might abridge our freedom of expression,abridge,
30,abrogate,to abolish by authoritative action,1,revoke formally,,abrogate,
31,abscess,to form such a collection of pus,1,,,,
32,abscission,the act of cutting off,1,shedding of flowers and leaves and fruit following formation of scar tissue in a plant,,abscission,
32,abscission,the act of cutting off,2,the act of cutting something off,,abscission. cutting_off,
33,abscond,to depart secretly,1,run away; usually includes taking something or somebody along,The thief made off with our silver. The accountant absconded with the cash from the safe,abscond. bolt. absquatulate. decamp. run_off. go_off. make_off,
34,absence,a state of being absent,1,the state of being absent,He was surprised by the absence of any explanation,absence,presence
34,absence,a state of being absent,2,failure to be present,,absence,presence
34,absence,a state of being absent,3,the time interval during which something or somebody is away,He visited during my absence,absence,
34,absence,a state of being absent,4,"the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy",,absence. absence_seizure,
35,absolute,"free from imperfection, complete",1,perfect or complete or pure,Absolute loyalty. Absolute silence. Absolute truth. Absolute alcohol,absolute,relative
35,absolute,"free from imperfection, complete",2,complete and without restriction or qualification; sometimes used informally as intensifiers,Absolute freedom. An absolute dimwit. A downright lie. Out-and-out mayhem. An out-and-out lie. A rank outsider. Many right-down vices. Got the job through sheer persistence. Sheer stupidity,absolute. downright. out-and-out. rank. right-down. sheer,
35,absolute,"free from imperfection, complete",3,not limited by law,An absolute monarch,absolute,
35,absolute,"free from imperfection, complete",4,expressing finality with no implication of possible change,An absolute guarantee to respect the nation's authority,absolute,
35,absolute,"free from imperfection, complete",5,not capable of being violated or infringed,Infrangible human rights,absolute. infrangible. inviolable,
36,absolve,to set free from an obligation,1,grant remission of a sin to,The priest absolved him and told him to say ten Hail Mary's,shrive. absolve,
36,absolve,to set free from an obligation,2,let off the hook,I absolve you from this responsibility,absolve. justify. free,blame
37,abstain,refrain from (something),1,refrain from voting,,abstain,
37,abstain,refrain from (something),2,choose not to consume,I abstain from alcohol,abstain. refrain. desist,consume
38,abstemious,restraint especially in the consumption of food or alcohol,1,sparing in consumption of especially food and drink; - John Galsworthy,"The pleasures of the table, never of much consequence to one naturally abstemious",abstemious,gluttonous
38,abstemious,restraint especially in the consumption of food or alcohol,2,marked by temperance in indulgence,Abstemious with the use of adverbs. A light eater. A light smoker. Ate a light supper,abstemious. light,
39,abstinence,voluntary forbearance esp.  from indulgence of an appetite,1,the trait of abstaining (especially from alcohol),,abstinence. abstention,
39,abstinence,voluntary forbearance esp.  from indulgence of an appetite,2,act or practice of refraining from indulging an appetite,,abstinence,
40,abstract,"to separate, to remove, to take away",1,consider a concept without thinking of a specific example; consider abstractly or theoretically,,abstract,
40,abstract,"to separate, to remove, to take away",2,make off with belongings of others,,pilfer. cabbage. purloin. pinch. abstract. snarf. swipe. hook. sneak. filch. nobble. lift,
40,abstract,"to separate, to remove, to take away",3,consider apart from a particular case or instance,Let's abstract away from this particular example,abstract,
40,abstract,"to separate, to remove, to take away",4,give an abstract (of),,abstract,
41,abstruse,difficult to comprehend,1,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,The professor's lectures were so abstruse that students tended to avoid them. A deep metaphysical theory. Some recondite problem in historiography,abstruse. deep. recondite,
42,abundant,"fully sufficient, in great quantity",1,present in great quantity,An abundant supply of water,abundant,scarce
43,abusive,treating badly or injuriously,1,expressing offensive reproach,,abusive. opprobrious. scurrilous,
43,abusive,treating badly or injuriously,2,characterized by physical or psychological maltreatment,Abusive punishment. Argued...that foster homes are abusive,abusive,
44,abut,"to touch by means of a mutual border, to meet",1,lie adjacent to another or share a boundary,Canada adjoins the U.S.. England marches with Scotland,border. adjoin. edge. abut. march. butt. butt_against. butt_on,
45,abysmal,"extremely hopeless, bad, or severe",1,very great; limitless,Abysmal misery. Abysmal stupidity,abysmal,
