WordNo,Word,Definition,Type,Records,MoreDef,Samples,Synonyms,Antonyms,Reviewed_Times
1,abash,to make ashamed,verb,1,Cause to be embarrassed; cause to feel self-conscious,,Embarrass. abash,,1
2,abate,to put an end to,verb,2,Become less in amount or intensity. Make less active or intense,The storm abated. The rain let up after a few hours,Abate. let_up. slack_off. slack. die_away. Slake. abate. slack,,1
3,abbess,a female superior or governess of a nunnery,noun,1,The superior of a group of nuns,,Abbess. mother_superior. prioress,,1
4,abbey,a monastery or society of people,noun,3,A monastery ruled by an abbot. A convent ruled by an abbess. A church associated with a monastery or convent,,Abbey,,1
5,abbot,the superior or head of an abbey or monastery,noun,1,The superior of an abbey of monks,,Abbot. archimandrite,,1
6,abbreviate,to make shorter,verb,2,Reduce in scope while retaining essential elements. Shorten,The manuscript must be shortened. Abbreviate `New York' and write `NY',Abbreviate. Abridge. foreshorten. abbreviate. shorten. cut. contract. reduce,Expand,1
7,abdicate,"to surrender, renounce or relinquish",verb,1,"Give up, such as power, as of monarchs and emperors, or duties and obligations",The King abdicated when he married a divorcee,Abdicate. renounce,,1
8,abdomen,the belly/stomach,noun,2,The cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm. The region of the body of a vertebrate between the thorax and the pelvis,,Abdominal_cavity. abdomen. Abdomen. venter. stomach. belly,,1
9,abduct,to take away secretly by force,verb,2,Take away to an undisclosed location against their will and usually in order to extract a ransom. Pull away from the body,This muscle abducts. The industrialist's son was kidnapped,Kidnap. nobble. abduct. snatch. Abduct,Adduct,1
10,abed,in bed,verb,1,,,,,1
11,aberrant,straying from the right or normal way,verb,1,,,,,1
12,abet,"to assist or encourage by aid, especially in crime",verb,1,"Assist or encourage, usually in some wrongdoing",,Abet,,1
13,abeyance,temporary inactivity,noun,1,Temporary cessation or suspension,,Abeyance. suspension,,0
14,abhor,to loath,verb,1,Find repugnant,I loathe that man. She abhors cats,Abhor. loathe. abominate. execrate,,0
15,abide,to wait for,verb,2,Dwell. Put up with something or somebody unpleasant,I cannot bear his constant criticism. The new secretary had to endure a lot of unprofessional remarks. He learned to tolerate the heat. She stuck out two years in a miserable marriage. You can stay with me while you are in town. Stay a bit longer--the day is still young,Bide. abide. stay. Digest. endure. stick_out. stomach. bear. stand. tolerate. support. brook. abide. suffer. put_up,,0
16,abject,"to cast off or down, to abase",verb,1,,,,,0
17,abjure,to renounce upon oath,verb,1,"Formally reject or disavow a formerly held belief, usually under pressure",He retracted his earlier statements about his religion. She abjured her beliefs,Abjure. recant. forswear. retract. resile,,0
18,abnegate,to deny (oneself something),verb,3,"Surrender (power or a position). Deny oneself (something); restrain, especially from indulging in some pleasure. Deny or renounce",The King abnegated his power to the ministers. They abnegated their gods. She denied herself wine and spirits,Deny. abnegate. Abnegate,,0
19,abnormal,not conforming to rule or system,adjective,3,Much greater than the normal. Not normal; not typical or usual or regular or conforming to a norm. Departing from the normal in e.g. intelligence and development,They were heartbroken when they learned their child was abnormal. An abnormal personality. Abnormal profits. Abnormal ambition. Abnormal powers of concentration. Abnormal amounts of rain. Abnormal circumstances. An abnormal interest in food,Abnormal. unnatural. Abnormal,Normal,0
20,abominable,"very hateful, detestable",adjective,2,Unequivocally detestable; ; ; ; - Edmund Burke. Exceptionally bad or displeasing,Atrocious taste. Abominable workmanship. An awful voice. Dreadful manners. A painful performance. Terrible handwriting. An unspeakable odor came sweeping into the room. Abominable treatment of prisoners. Detestable vices. Execrable crimes. Consequences odious to those you govern,Atrocious. abominable. awful. dreadful. painful. terrible. unspeakable. Abominable. detestable. execrable. odious,,0
21,abomination,anything greatly disliked or abhorred,noun,3,An action that is vicious or vile; an action that arouses disgust or abhorrence. A person who is loathsome or disgusting. Hate coupled with disgust,His treatment of the children is an abomination,Abhorrence. abomination. detestation. execration. loathing. odium. Abomination,,0
22,aboriginal,original or indigenous to a place,adjective,3,Characteristic of or relating to people inhabiting a region from the beginning. Having existed from the beginning; in an earliest or original stage or state. Of or pertaining to members of the indigenous people of Australia,Native Americans. The aboriginal peoples of Australia. An Aboriginal rite. Aboriginal forests. Primal eras before the appearance of life on earth. The forest primeval. Primordial matter. Primordial forms of life,Aboriginal. primal. primeval. primaeval. primordial. Native. aboriginal. Aboriginal,Nonnative,0
23,abort,"to miscarry, to bring forth something prematurely",verb,3,"Terminate before completion. Cease development, die, and be aborted. Terminate a pregnancy by undergoing an abortion",Abort the mission. Abort the process running on my computer. An aborting fetus,Abort,,0
24,abortive,unsuccessful,adjective,1,Failing to accomplish an intended result,An abortive revolt. A stillborn plot to assassinate the President,Abortive. stillborn. unsuccessful,,0
25,abound,"to be plentiful, to be very prevalent, to overflow",verb,2,Be abundant or plentiful; exist in large quantities. Be in a state of movement or action,The room abounded with screaming children. The garden bristled with toddlers,Abound. burst. bristle. Abound,,0
26,aboveboard,"in open sight, without concealment, or deception",adjective,1,Without concealment or deception; honest,Their business was open and aboveboard. Straightforward in all his business affairs,Aboveboard. straightforward,,0
27,abrade,to rub or wear away,verb,2,Wear away. Rub hard or scrub,Scour the counter tops,Abrade. corrade. abrase. rub_down. rub_off. Scour. abrade,,0
28,abrasive,rough enough to wear away the outer surface,adjective,2,Causing abrasion. Sharply disagreeable; rigorous,The harsh facts of court delays. An abrasive character,Harsh. abrasive. Abrasive. scratchy,,0
29,abridge,to shorten in duration,verb,2,"Lessen, diminish, or curtail. Reduce in scope while retaining essential elements",The new law might abridge our freedom of expression. The manuscript must be shortened,Abridge. Abridge. foreshorten. abbreviate. shorten. cut. contract. reduce,Expand,0
30,abrogate,to abolish by authoritative action,verb,1,Revoke formally,,Abrogate,,0
31,abscess,to form such a collection of pus,verb,1,,,,,0
32,abscission,the act of cutting off,noun,2,The act of cutting something off. Shedding of flowers and leaves and fruit following formation of scar tissue in a plant,,Abscission. Abscission. cutting_off,,0
33,abscond,to depart secretly,verb,1,Run away; usually includes taking something or somebody along,The thief made off with our silver. The accountant absconded with the cash from the safe,Abscond. bolt. absquatulate. decamp. run_off. go_off. make_off,,0
34,absence,a state of being absent,noun,4,"The occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy. The state of being absent. Failure to be present. The time interval during which something or somebody is away",He was surprised by the absence of any explanation. He visited during my absence,Absence. absence_seizure. Absence,Presence,0
