Seq,Rank,School_url,College,Town,Wiki,Web,Summary
0,1061,/reviews/9107.htm,A.T. Still University,Kirksville ...,https://en.wikipedia.org/wiki/A.T._Still_University,https://www.atsu.edu,"Founded in 1892,  A.T. Still University is a non-profit private specialized higher-education institution located in the rural setting of the large town of Kirksville (population range of 10,000-49,999 inhabitants), Missouri.  This institution also has a branch campus in Mesa. Officially accredited by the Higher Learning Commission, A.T. Still University (ATSU) is a small (uniRank enrollment range: 4,000-4,999 students) coeducational US higher education institution. A.T. Still University (ATSU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 128 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades. International students are welcome to apply for enrollment.  ATSU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
1,475,/reviews/6637.htm,Abilene Christian University,Abilene,https://en.wikipedia.org/wiki/Abilene_Christian_University,https://www.acu.edu,"Founded in 1906,  Abilene Christian University is a non-profit private higher-education institution located in the urban setting of the small city of Abilene (population range of 50,000-249,999 inhabitants), Texas.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Abilene Christian University (ACU) is a small (uniRank enrollment range: 5,000-5,999 students) coeducational US higher education institution formally affiliated with the Christian-Restorationist religion. Abilene Christian University (ACU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 114 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  ACU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
2,1479,/reviews/16788.htm,Abraham Baldwin Agricultural College,Tifton,https://en.wikipedia.org/wiki/Abraham_Baldwin_Agricultural_College,https://www.abac.edu,"Established in 1908,  Abraham Baldwin Agricultural College is a non-profit public state higher-education institution located in the rural setting of the large town of Tifton (population range of 10,000-49,999 inhabitants), Georgia.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Abraham Baldwin Agricultural College (ABAC) is a medium-sized (uniRank enrollment range: 6,000-6,999 students) coeducational US higher education institution. Abraham Baldwin Agricultural College (ABAC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 112 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  ABAC also provides several academic and non-academic facilities and services to students including a library,  housing,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
3,467,/reviews/4998.htm,Academy of Art University,San Francisco,https://en.wikipedia.org/wiki/Academy_of_Art_University,https://www.academyart.edu,"Established in 1929,  Academy of Art University is a for-profit private higher-education institution located in the urban setting of the large city of San Francisco (population range of 500,000-1,000,000 inhabitants), California.   Officially accredited by the WASC Senior College and University Commission, Academy of Art University (ARTU) is a large (uniRank enrollment range: 10,000-14,999 students) coeducational US higher education institution. Academy of Art University (ARTU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 91 years old US higher-education institution has a selective admission policy This higher education institution has an open admission policy. International applicants are eligible to apply for enrollment.  ARTU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
4,984,/reviews/5171.htm,Adams State University,Alamosa,https://en.wikipedia.org/wiki/Adams_State_University,https://www.adams.edu,"Founded in 1921,  Adams State University is a non-profit public state higher-education institution located in the rural setting of the medium town of Alamosa (population range of 2,500-9,999 inhabitants), Colorado.   Officially accredited by the Higher Learning Commission, Adams State University (ASU) is a small (uniRank enrollment range: 4,000-4,999 students) coeducational US higher education institution. Adams State University (ASU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 99 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution.  ASU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
5,445,/reviews/6041.htm,Adelphi University,Garden City,https://en.wikipedia.org/wiki/Adelphi_University,https://www.adelphi.edu,"Founded in 1896,  Adelphi University is a non-profit private higher-education institution located in the suburban setting of the large town of Garden City (population range of 10,000-49,999 inhabitants), New York.   Officially accredited by the Middle States Commission on Higher Education, Adelphi University (AU) is a medium-sized (uniRank enrollment range: 9,000-9,999 students) coeducational US higher education institution. Adelphi University (AU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 124 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  AU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
6,1501,/reviews/5828.htm,Adler Graduate School,Minnetonka,https://en.wikipedia.org/wiki/Adler_Graduate_School,https://alfredadler.edu,"Established in 1969,  Adler Graduate School is a non-profit private specialized higher-education institution located in the suburban setting of the large town of Minnetonka (population range of 10,000-49,999 inhabitants), Minnesota.   Officially accredited by the Higher Learning Commission, Adler Graduate School (AGS) is a very small (uniRank enrollment range: 250-499 students) coeducational US higher education institution. Adler Graduate School (AGS) offers courses and programs leading to officially recognized higher education degrees such as master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 51 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.  AGS also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
7,1190,/reviews/5376.htm,Adler University,Chicago ...,https://en.wikipedia.org/wiki/Adler_University,https://www.adler.edu,"Established in 1952,  Adler University is a non-profit private specialized higher-education institution located in the urban setting of the metropolis of Chicago (population range of 1,000,000-5,000,000 inhabitants), Illinois.  This institution also has a branch campus in Vancouver. Officially accredited by the Higher Learning Commission, Adler University  is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution. Adler University offers courses and programs leading to officially recognized higher education degrees such as master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 68 years old US higher-education institution has a selective admission policy based on students' past academic record and grades. International applicants are eligible to apply for enrollment.  Adler University also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
8,1156,/reviews/5768.htm,Adrian College,Adrian,https://en.wikipedia.org/wiki/Adrian_College,http://adrian.edu,"Established in 1859,  Adrian College is a non-profit private multidisciplinary higher-education institution located in the rural setting of the large town of Adrian (population range of 10,000-49,999 inhabitants), Michigan.   Officially accredited by the Higher Learning Commission, Adrian College (AC) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution formally affiliated with the Christian-Methodist religion. Adrian College (AC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 161 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution.  AC also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
9,1424,/reviews/9132.htm,AdventHealth University,Orlando,https://en.wikipedia.org/wiki/AdventHealth_University,https://www.ahu.edu,"Established in 1992,  AdventHealth University is a non-profit private specialized higher-education institution located in the urban setting of the small city of Orlando (population range of 50,000-249,999 inhabitants), Florida.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, AdventHealth University (AHU) is a small (uniRank enrollment range: 2,000-2,999 students) coeducational US higher education institution formally affiliated with the Christian-Adventist religion. AdventHealth University (AHU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 28 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution.  AHU also provides several academic and non-academic facilities and services to students including a library,  housing,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
10,504,/reviews/5307.htm,Agnes Scott College,Decatur,https://en.wikipedia.org/wiki/Agnes_Scott_College,https://www.agnesscott.edu,"Founded in 1889,  Agnes Scott College is a non-profit private liberal arts higher-education institution located in the suburban setting of the large town of Decatur (population range of 10,000-49,999 inhabitants), Georgia.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Agnes Scott College (ASC) is a very small (uniRank enrollment range: 500-999 students) women only US higher education institution formally affiliated with the Christian-Presbyterian religion. Agnes Scott College (ASC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 131 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  ASC also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
