Seq,College,Town,Wiki_Summary
0,A.T. Still University,Kirksville ...,"A.T. Still University (ATSU) is a private medical school based in Kirksville, Missouri, with a second campus in Arizona and third campus in Santa Maria, California. It was founded in 1892 by Andrew Taylor Still and was the world's first osteopathic medical school. It is accredited by the Higher Learning Commission. ATSU includes three campuses on 200 acres with seven schools and colleges.

"
1,Abilene Christian University,Abilene,"Abilene Christian University (ACU) is a private Christian university in Abilene, Texas. It was founded in 1906 as Childers Classical Institute.

"
2,Abraham Baldwin Agricultural College,Tifton,"Abraham Baldwin Agricultural College (ABAC) is a public college in Tifton, Georgia. It is part of the University System of Georgia and offers baccalaureate and associate degrees. The college is named after Abraham Baldwin, a signer of the United States Constitution from Georgia and the first president of the University of Georgia.
ABAC was established in 1908 as the Second District A&M School.  The name was changed to the South Georgia A&M College in 1924, and to the Georgia State College for Men in 1929.  It became Abraham Baldwin Agricultural College in 1933 when ABAC became a part of the newly formed University System of Georgia. At that time, ABAC's mission was devoted to associate level studies in agriculture, home economics, and related fields.  Today, ABAC offers a variety of bachelor's degree programs as well as associate degrees.
The college became the owner of Possum Poke in 1999.

"
3,Academy of Art University,San Francisco,"The Academy of Art University (AAU or ART U), formerly Academy of Art College and Richard Stephens Academy of Art, is a private for-profit art school in San Francisco, California. It was founded as the Academy of Advertising Art by Richard S. Stephens in 1929. In fall 2020, it had 202 full-time teachers, 621 part-time teaching staff, and 8,928 students; it claims to be the largest privately owned art and design school in the United States. The school is one of the largest property owners in San Francisco, with the main campus located on New Montgomery Street in the South of Market district."
4,Adams State University,Alamosa,"Adams State University is a public university in Alamosa, Colorado. The university's Adams State Grizzlies athletic teams compete under the auspices of the Rocky Mountain Athletic Conference.

"
5,Adelphi University,Garden City,"Adelphi University is a private university in Garden City, New York. Adelphi also has centers in Manhattan, Hudson Valley, and Suffolk County. There is also a virtual, online campus for remote students. It is the oldest institution of higher education in suburban Long Island. It enrolls 7,520 undergraduate and graduate students.

"
6,Adler Graduate School,Minnetonka,"Adler Graduate School is a non-profit educational institution located in Minnetonka, Minnesota, United States, that offers a Master of Arts Degree in Adlerian Counseling and Psychotherapy. The six areas of emphasis are Adlerian Studies, Marriage and Family Therapy, Clinical Mental Health Counseling (Licensed Professional Counseling/Licensed Professional Clinical Counseling), School Counseling, Co-Occurring Disorders, and Art Therapy.
The school offers certificate programs in Adlerian Studies, and Co-Occurring Disorders. Adler Graduate School also offers Post-Master's coursework for Licensure in Clinical Mental Health Counseling (LPC or LPCC only), Marriage and Family Therapy (LMFT only), School Counseling (Licensed School Counselor only), and Art Therapy (AT-R Credential only).
The Adler Graduate School is accredited by the North Central Association of The Higher Learning Commission (NCA).
The overarching framework of the Adler Graduate School is the vision of ""Transforming Society through Social Interest in Action."" Alfred Adler believed the true measure of one's overall health is displayed in their level of social interest. The Adler Graduate School manifests this social interest through its dual commitments to higher education and community service. The College takes pride in the individualized relationships with students, alumni, faculty, and staff and aspires to an organizational environment where people can serve or be served with great dignity.
The Minnesota-based Adler Graduate School and the Chicago-based Adler School of Professional Psychology are independent of one another and institutionally unaffiliated."
7,Adler University,Chicago ...,"Adler University is a private not-for-profit university, with two campuses in North America. The university's flagship campus is in Chicago, Illinois, and its satellite campus is located in Vancouver, British Columbia. The university also offers online classes and degree programs online for both masters and doctoral students.

"
8,Adrian College,Adrian,"Adrian College is a private liberal arts college in Adrian, Michigan.  The college offers bachelor's degrees in 40 academic majors and programs. The 100 acre (0.40 km2) campus contains newly constructed facilities along with historic buildings. Adrian College is affiliated with the United Methodist Church and is accredited by the Higher Learning Commission. The spring 2020-21 enrollment was 1,677 students."
9,AdventHealth University,Orlando,"AdventHealth University (AHU) is a Seventh-day Adventist institution specializing in healthcare education that is located in Orlando, Florida; Denver, Colorado; and online. It is associated with AdventHealth, which is operated by the Seventh-day Adventist Church. It is a part of the Seventh-day Adventist education system, the world's second largest Christian school system. The physical facilities are located next to AdventHealth Orlando and Centura Health in Denver. The university offers over 20 undergraduate and graduate degrees from associate to doctorate level, including online and post-baccalaureate certificates.

"
